State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AK,02,00300,Hoonah City School District,891,122,28
AK,02,00330,Hydaburg City School District,376,66,16
AK,02,00520,Iditarod Area School District,"1,054",230,69
AK,02,00210,Juneau Borough School District,"31,555","4,849",353
AK,02,00360,Kake City School District,538,112,31
AK,02,00005,Kashunamiut School District,909,255,114
AK,02,00390,Kenai Peninsula Borough School District,"61,223","10,133","1,123"
AK,02,00150,Ketchikan Gateway Borough School District,"13,738","2,105",209
AK,02,00450,Klawock City School District,713,123,16
AK,02,00480,Kodiak Island Borough School District,"12,565","2,197",173
AK,02,00760,Kuspuk School District,"1,396",321,120
AK,02,00485,Lake and Peninsula Borough School District,"1,331",278,70
AK,02,00001,Lower Kuskokwim School District,"15,252","3,769","1,200"
AK,02,00003,Lower Yukon School District,"6,519","1,926",649
AK,02,00510,Matanuska-Susitna Borough School District,"115,239","21,954","1,863"
AK,02,00540,Nenana City School District,344,74,16
AK,02,00570,Nome School District,"3,595",780,125
AK,02,00610,North Slope Borough School District,"10,603","2,036",230
AK,02,00625,Northwest Arctic Borough School District,"7,361","2,083",414
AK,02,00630,Pelican City School District,94,10,5
AK,02,00660,Petersburg Borough School District,"3,427",548,50
AK,02,00670,Pribilof School District,473,56,5
AK,02,00240,Sitka School District,"8,282","1,198",97
AK,02,00690,Skagway School District,"1,095",128,11
AK,02,00700,Southeast Island School District,"1,497",191,38
AK,02,00710,Southwest Region School District,"2,474",621,219
AK,02,00680,St. Marys City School District,573,155,60
AK,02,00715,Tanana City School District,236,40,13
AK,02,00720,Unalaska City School District,"4,196",233,9
AK,02,00780,Valdez City School District,"3,798",670,34
AK,02,00810,Wrangell School District,"2,064",264,38
AK,02,00840,Yakutat School District,687,106,21
AK,02,00775,Yukon Flats School District,"1,112",221,42
AK,02,00862,Yukon-Koyukuk School District,"1,956",395,80
AK,02,00004,Yupiit School District,"1,551",432,201
AZ,04,00450,Agua Fria Union High School District,"168,126","9,180",816
AZ,04,00480,Aguila Elementary District,830,149,8
AZ,04,00520,Ajo Unified District,"3,096",328,49
AZ,04,00600,Alhambra Elementary District,"99,629","14,163","3,908"
AZ,04,00630,Alpine Elementary District,674,70,16
AZ,04,04770,Altar Valley Elementary District,"6,779","1,023",222
AZ,04,00680,Amphitheater Unified District,"149,830","18,482","2,688"
AZ,04,00720,Antelope Union High School District,"4,656",205,49
AZ,04,00750,Apache Elementary District,131,10,1
AZ,04,00790,Apache Junction Unified District,"68,885","6,865",800
AZ,04,00840,Arlington Elementary District,"1,364",179,13
AZ,04,00870,Ash Creek Elementary District,584,36,8
AZ,04,00910,Ash Fork Joint Unified District,"2,061",244,96
AZ,04,00960,Avondale Elementary District,"57,789","8,310","1,241"
AZ,04,01000,Bagdad Unified School District,"2,310",501,37
AZ,04,01050,Balsz Elementary District,"34,158","3,695",922
AZ,04,01080,Beaver Creek Elementary District,"5,501",767,136
AZ,04,00212,Benson Unified School District,"8,046","1,146",225
AZ,04,01160,Bicentennial Union High School District,"7,232",152,53
AZ,04,01180,Bisbee Unified District,"6,413",631,145
AZ,04,01230,Blue Elementary District,54,1,0
AZ,04,06580,Blue Ridge Unified District,"13,763","2,013",437
AZ,04,01260,Bonita Elementary District,908,47,5
AZ,04,01290,Bouse Elementary District,856,38,18
AZ,04,01330,Bowie Unified District,640,108,31
AZ,04,01380,Buckeye Elementary District,"55,240","7,811","1,024"
AZ,04,01410,Buckeye Union High School District,"101,934","5,750",533
AZ,04,01500,Bullhead City School District,"43,934","3,290","1,057"
AZ,04,01600,Camp Verde Unified District,"13,377","1,985",370
AZ,04,01650,Canon Elementary District,"2,908",296,71
AZ,04,01680,Cartwright Elementary District,"124,288","19,945","4,793"
AZ,04,01710,Casa Grande Elementary District,"74,700","9,283","1,298"
AZ,04,01740,Casa Grande Union High School District,"105,140","5,322",629
AZ,04,01760,Catalina Foothills Unified District,"32,211","3,974",184
AZ,04,00001,Cave Creek Unified District,"66,110","7,076",253
AZ,04,01810,Cedar Unified District,"6,886","1,316",476
AZ,04,01870,Chandler Unified District,"287,287","51,403","3,381"
AZ,04,01920,Chevelon Butte School District,575,26,6
AZ,04,01940,Chinle Unified District,"18,762","4,192","1,666"
AZ,04,00003,Chino Valley Unified District,"25,953","3,623",487
AZ,04,00004,Clarkdale-Jerome Elementary District,"4,354",346,38
AZ,04,02130,Cochise Elementary District,195,25,9
AZ,04,00021,Colorado City Unified District,"4,295","1,417",290
AZ,04,00082,Colorado River Union High School District,"71,330","2,692",601
AZ,04,02190,Concho Elementary District,"2,663",304,127
AZ,04,02220,Congress Elementary District,"2,275",141,46
AZ,04,02250,Continental Elementary District,"32,088","1,098",58
AZ,04,02320,Coolidge Unified District,"22,016","4,323",670
AZ,04,02370,Cottonwood-Oak Creek Elementary District,"32,666","2,862",535
AZ,04,02400,Crane Elementary District,"46,825","6,604","1,139"
AZ,04,02430,Creighton Elementary District,"67,475","7,418","1,564"
AZ,04,02460,Crown King Elementary District,93,2,0
AZ,04,07750,Deer Valley Unified District,"278,687","46,676","3,576"
AZ,04,02490,Double Adobe Elementary District,384,43,11
AZ,04,02530,Douglas Unified District,"20,158","4,089","1,131"
AZ,04,02600,Duncan Unified District,"2,530",443,63
AZ,04,02690,Dysart Unified District,"203,601","34,840","3,649"
AZ,04,02710,Eagle Elementary District,73,7,1
AZ,04,02760,Elfrida Elementary District,871,85,29
AZ,04,02790,Eloy Elementary District,"6,446",934,240
AZ,04,02820,Empire Elementary District,479,65,9
AZ,04,02860,Flagstaff Unified District,"100,159","13,483","1,724"
AZ,04,02920,Florence Unified School District,"120,051","19,972","2,098"
AZ,04,03010,Flowing Wells Unified District,"31,038","4,990","1,293"
AZ,04,03150,Fort Huachuca Accommodation District,"5,205",776,25
AZ,04,03200,Fort Thomas Unified District,"2,630",613,158
AZ,04,03040,Fountain Hills Unified District,"25,299","1,936",145
AZ,04,03060,Fowler Elementary District,"36,136","5,740","1,192"
AZ,04,03080,Fredonia-Moccasin Unified District,"2,732",443,125
AZ,04,03240,Gadsden Elementary District,"27,066","4,013","1,348"
AZ,04,03290,Ganado Unified District,"6,146","1,259",475
AZ,04,03310,Gila Bend Unified District,"2,388",554,58
AZ,04,03400,Gilbert Unified District,"219,299","42,522","2,586"
AZ,04,03420,Glendale Elementary District,"113,232","15,761","3,701"
