latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
38.499764,-94.962702,No,HS,OSAWATOMIE,OSAWATOMIE VIRTUAL SCHOOL,KS,____hi,HN
37.595565,-100.445949,No,HS,MONTEZUMA,SOUTH GRAY COMMUNITY LEARNING CENTER,KS,____hi,HN
37.218744,-98.041181,No,HS,CHAPARRAL SCHOOLS,CHAPARRAL VIRTUAL SCHOOL,KS,____hi,HN
39.206575,-96.305916,No,HS,WAMEGO,WAMEGO HIGH SCHOOL VIRTUAL SCHOOL,KS,____hi,HN
37.923901,-95.400525,No,HS,IOLA,IOLA HIGH SCHOOL VIRTUAL,KS,____hi,HN
38.964933,-94.989231,No,HS,DE SOTO,VIRTUAL EDUCATION PROGRAM,KS,____hi,HN
37.580186,-101.359918,No,HS,ULYSSES,ULYSSES COMMUNITY LEARNING CENTER (UCLC),KS,____hi,HN
37.918917,-95.170846,No,HS,MARMATON VALLEY,MARMATON VALLEY VIRTUAL SCHOOL,KS,____hi,HN
37.330539,-88.091198,No,HS,CRITTENDEN COUNTY,PATHWAY ACADEMY HIGH SCHOOL,KY,____hi,HN
37.9956,-86.1737,No,HS,MEADE COUNTY,BRANDENBURG HIGH SCHOOL,KY,____hi,HN
30.832835,-91.211944,No,HS,SPECIAL SCHOOL DISTRICT,EASTERN LA MENTAL SYSTEM,LA,____hi,HN
32.423526,-93.837899,No,HS,CADDO PARISH,CADDO VIRTUAL ACADEMY,LA,____hi,HN
42.587467,-72.542768,No,HS,GILL-MONTAGUE,TURNERS FALL HIGH,MA,____hi,HN
44.397115,-69.955025,No,HS,RSU 38,MARANACOOK COMMUNITY HIGH SCH,ME,____hi,HN
46.762619,-88.510602,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,BARAGA MAXIMUM CORRECTIONAL FACILITY,MI,____hi,HN
43.695728,-85.462213,No,HS,MECOSTA-OSCEOLA ISD,MECOSTAOSCEOLA CAREER CENTER,MI,____hi,HN
44.26763,-85.379853,No,HS,WEXFORD-MISSAUKEE ISD,WEXFORDMISSAUKEE ISD CAREER CENTER,MI,____hi,HN
43.161364,-84.87265,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,CARSON CITY CORRECTIONAL FACILITY,MI,____hi,HN
41.917968,-85.525514,No,HS,CENTREVILLE PUBLIC SCHOOLS,CENTREVILLE ADULT EDUCATION,MI,____hi,HN
41.96206,-84.993673,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,LAKELAND CORRECTIONAL FACILITY,MI,____hi,HN
41.950368,-84.993733,No,HS,BRANCH ISD,BRANCH AREA CAREERS CENTER,MI,____hi,HN
