latitude,longitude,Offers CS?,School District Name,School Name,State,Agency ID,State Abbr,Grades 9-12 Students [District] 2023-24,Male Students [District] 2023-24,Female Students [District] 2023-24,American Indian/Alaska Native Students [District] 2023-24,Asian or Asian/Pacific Islander Students [District] 2023-24,Hispanic Students [District] 2023-24,Black or African American Students [District] 2023-24,White Students [District] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [District] 2023-24,Two or More Races Students [District] 2023-24,Pupil/Teacher Ratio [District] 2023-24,Full-Time Equivalent (FTE) Teachers [District] 2023-24,Total Staff [District] 2023-24,Librarians/media specialists [District] 2023-24,Media Support Staff [District] 2023-24,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Diploma Recipients & Other Completers [District] 2022-23,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
33.356,-82.0016,1,RICHMOND COUNTY,Cross Creek High School,GA,1304380,GA,8573,14984,14400,47,172,1947,22326,3439,127,1326,11.73,2505.2,5317.9,55,0,150406000,185351000,77104000,14191,1641,"205,414","33,910","10,069"
33.6674,-84.0074,1,ROCKDALE COUNTY,Rockdale County High School,GA,1304410,GA,5241,7747,7637,42,160,2951,10419,1054,48,710,13.3,1156.4,2407,18.5,0,96420000,107722000,24841000,14592,1239,"95,989","17,374","3,150"
32.8251,-83.2136,0,WILKINSON COUNTY,Wilkinson County High School,GA,1305790,GA,368,571,505,0,5,75,601,307,0,88,13.23,81.3,207.4,2,1,8264000,6881000,6208000,18471,87,"8,725","1,433",473
21.385067,-157.74776,0,HAWAII DEPARTMENT OF EDUCATION,Kailua High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
19.721774,-155.096713,1,HAWAII DEPARTMENT OF EDUCATION,Hilo High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
19.509758,-155.915333,1,HAWAII DEPARTMENT OF EDUCATION,Konawaena High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
20.888993,-156.658132,1,HAWAII DEPARTMENT OF EDUCATION,Lahainaluna High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
21.958728,-159.359981,0,HAWAII DEPARTMENT OF EDUCATION,Kauai High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
21.315597,-158.007986,1,HAWAII DEPARTMENT OF EDUCATION,James Campbell High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
21.279228,-157.77329,1,HAWAII DEPARTMENT OF EDUCATION,Kalani High School,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
